UserLanguage,SQ 1 ,SQ 2,SQ 3,SQ 3_16_TEXT,SQ 4 ,SQ 5,Q 1.3,Q 1.4_1,Q 1.4_2,Q 1.4_3,Q 1.4_4,Q 1.4_5,Q 1.4_5_TEXT,Q 1.5,Q 2.1,Q 2.1_1_TEXT,Q 2.1_2_TEXT,Q 2.1_3_TEXT,Q 2.1_4_TEXT,Q 2.2,Q 2.3,Q 2.4,Q 2.5,Q 2.6,Q 2.6_1_TEXT,Q 2.6_2_TEXT,Q 3.2,Q 3.3,Q 3.4,Q 3.4_4_TEXT,Q 3.5,Q 3.5_12_TEXT,Q 3.6,Q 3.6_5_TEXT,Q 3.7,Q 4.1,Q 4.2,Q 4.3,Q 4.3_6_TEXT,Q 4.4,Q 4.4_12_TEXT,Q 4.5,Q 4.5_10_TEXT,Q 4.6,Q 4.7,Q 4.8,Q 4.9_1,Q 4.9_2,Q 4.9_3,Q 4.9_4,Q 4.9_5,Q 4.9_6,Q 4.9_7,Q 4.9_7_TEXT,Q 4.10,Q 4.10_5_TEXT,Q 4.11_1,Q 4.11_2,Q 4.12,Q 4.13,Q 4.13_10_TEXT,Q 4.14,Q 4.14_6_TEXT,Q 4.15,Q 4.15_8_TEXT,,,,,,,,psid
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,Industria carni,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Fast food and quick-service restaurants,Street food vendors and food trucks",,Owner / Partner,Yes,6 months to 1 year,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,ser,Yes,Maximum capacity in number of persons,,,,,4 persons,"€250,000 – €500,000","20,001 to 100,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",9,24,Every day,Yes,A mix of both,,Rock,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges,Coffee shops and tea houses,Wine bars and tasting rooms",,Owner / Partner,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Number of tables,,10,,,2 persons,"€100,000 – €250,000","More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",06:00,20:00,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Rock,Hip-Hop / Rap,Dance / Electronic,Country,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Healthcare / Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Bars, pubs, and cocktail lounges",,Owner / Partner,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,Yes,Maximum capacity in number of persons,130,,,,5-10 persons,"€250,000 – €500,000","More than 500,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",16:00,02:00,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Rock,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Purchased music (CDs, digital downloads, etc.),Radio (FM, AM or internet radio) or TV",,Yes,Yes,3-4 times a month,"Solo artists,Bands,DJ sessions",,"Pop,Rock,Dance / Electronic,Latin",,101–150 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases slightly,Enhancing customer experience,,Increased food and beverage sales,,"High artist fees,High costs beside artists fees,Unpredictable revenue,Noise complaints from neighbours or authorities",,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Home Based Business Owner,Yes,3–5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,Yes,Maximum capacity in number of persons,100,,,,10-20 persons,"Less than €100,000","5,000 to 20,000 inhabitants","Monday,Tuesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",07:00,23:00,Every day,Yes,A mix of both,,"Pop,Latin,Country,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,No,Yes,1-2 times a month,Bands,,"Country,Jazz,Folk",,51–100 people,,Stayed the same,,,,,,,,,,,Paid by the guests (ticket/entry),,10,10,Increases significantly,Community engagement,,"Ticket sales,Increased food and beverage sales,Sponsorships",,"Unpredictable revenue,Licensing and regulation costs,Noise complaints from neighbours or authorities",,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Other:,,Experienced: Professional or Non-Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Maximum capacity in number of persons,,,,,Above 20 persons,I do not know,"5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday",Closing time,,,Most days,No,Randomly selected or played by chance,,"Pop,Rock",,"Radio (FM, AM or internet radio) or TV",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,Other:,,Senior Management (CEO / VP / Managing Director),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Mining / Quarrying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Food / Beverage / Restaurant,Coffee shops and tea houses,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,Other:,,Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants,Bars, pubs, and cocktail lounges",,Middle Management (Director / Divisional / Department Head),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Homemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Street food vendors and food trucks,,Experienced: Professional or Non-Management,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,No,Maximum capacity in number of persons,70,,,,5-10 persons,"€250,000 – €500,000","More than 500,000 inhabitants","Monday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",11,24,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Latin,R&B",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,Yes,1-2 times per year,DJ sessions,,"Pop,Dance / Electronic,R&B",,51–100 people,,Increased,,Increased by 0% to 25%,,,,,,,,,Free for the guests,,,,Increases significantly,Customer retention,,Increased food and beverage sales,,Unpredictable revenue,,,,,,,,,
IT,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Experienced: Professional or Non-Management,Yes,3–5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Squared meters,,,,400,Above 20 persons,"€250,000 – €500,000","100,001 to 500,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",11:30,23:30,Every day,No,A mix of both,,"Pop,Rock,Classical / Opera,Country,Jazz,Folk",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Self-employed,"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Homemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants,Bars, pubs, and cocktail lounges",,Middle Management (Director / Divisional / Department Head),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Catering for corporate events, weddings, and parties",,Experienced: Professional or Non-Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Maximum capacity in number of persons,45,,,,5-10 persons,"€100,000 – €250,000","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,10.30-15.30 17.30-00.30,,Every day,Yes,Chosen from the person on duty,,"Rock,Hip-Hop / Rap,Dance / Electronic,Latin,R&B,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Bars, pubs, and cocktail lounges",,Owner / Partner,Yes,3–5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,No,Squared meters,,,,240,5-10 persons,"€500,000 – €1 million","More than 500,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",18:00,24:00:00,Every day,No,Randomly selected or played by chance,,Pop,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Radio (FM, AM or internet radio) or TV",,Yes,Yes,1-2 times a month,"Solo artists,Bands",,"Pop,Rock,Jazz",,Up to 50 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases slightly,Customer retention,,Increased food and beverage sales,,"High artist fees,Unpredictable revenue,Equipment and venue space limitations",,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,"Holiday and other short-stay accommodation,Resort and destination dining",,Owner / Partner,Yes,3–5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,Yes,Maximum capacity in number of persons,35,,,,4 persons,"€500,000 – €1 million","More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",7,24,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,"Classical / Opera,Jazz,Folk",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Purchased music (CDs, digital downloads, etc.)",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Front Line Management,Yes,3–5 years,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)",,No,Number of rooms,,,26,,10-20 persons,"€250,000 – €500,000","5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",0,24,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Rock,Hip-Hop / Rap,Latin,Classical / Opera",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Hotels and similar accommodation,Full-service restaurants,Catering for corporate events, weddings, and parties",,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Petroleum / Petrochemicals/ Pharmaceutical / Chemical/ Plastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Part-time,Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,Industria alimentare di lattosio,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Property / Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Hotels and similar accommodation,Holiday and other short-stay accommodation,Full-service restaurants",,Experienced: Professional or Non-Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Number of tables,,25,,,5 persons,I do not know,"100,001 to 500,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",12,23,Every day,No,A mix of both,,"Rock,R&B,Jazz",,"Purchased music (CDs, digital downloads, etc.)",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Experienced: Professional or Non-Management,Yes,1–3 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,Yes,Number of rooms,,,83,,Above 20 persons,€5 million – €15 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",24.01,24,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Rock,Hip-Hop / Rap,Latin,Country,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Home Based Business Owner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Experienced: Professional or Non-Management,Yes,6 months to 1 year,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,No,Maximum capacity in number of persons,70,,,,2 persons,I do not know,"Fewer than 5,000 inhabitants","Monday,Tuesday,Wednesday,Friday,Saturday,Sunday","Opening time,Closing time",11,15,Most days,No,Other (please specify),Selezionata dal titolare,Jazz,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Senior Management (CEO / VP / Managing Director),Yes,3–5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,No,Maximum capacity in number of persons,200,,,,5-10 persons,"€250,000 – €500,000","5,000 to 20,000 inhabitants","Monday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",19,0,Every day,Yes,A mix of both,,"Dance / Electronic,Latin,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Experienced: Professional or Non-Management,Yes,3–5 years,,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,Yes,Maximum capacity in number of persons,40,,,,3 persons,I do not know,"20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Friday,Saturday,Sunday","Opening time,Closing time",7,16,Every day,No,Chosen from the person on duty,,"Pop,Rock,Hip-Hop / Rap,R&B",,"Radio (FM, AM or internet radio) or TV",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Travel / Tourism / Hospitality,Other:,"Agenzia viaggi, accompagnamento turistico",Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
